split,analysis_group,pair_id,label,neural_score,symbolic_status,violated_constraints,positive_evidence,uncertain_reasons,final_decision,governed_pred,decision_reason,left_title,right_title,left_brand,right_brand,left_price,right_price
valid,neural_fp_blocked_by_symbolic_invalid,96929485#53472089,0,1.0,invalid,['brand_conflict'],[],"['model_tokens_no_overlap', 'multiple_quantities_ambiguous', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,Mikrotik Cloud Core Router 1036-12G-4S-EM,APC,Mikrotik,205000000,80800
test,neural_fp_blocked_by_symbolic_invalid,6175893#51848095,0,0.996576513311884,invalid,['model_token_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Đồng hồ Tissot T006.207.11.038.00,Tissot T109.410.11.033.00,,,18140000,20390
test,neural_fp_blocked_by_symbolic_invalid,6175893#26986067,0,0.9944621164339682,invalid,['model_token_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Đồng hồ Tissot T006.207.11.038.00,Tissot Mens T-Sport V8 Swissmatic White Dial Bracelet Watch T106.407.11.031.01,,Tissot,18140000,351.00
test,neural_fp_blocked_by_symbolic_invalid,66481726#35452020,0,0.992156025399696,invalid,['variant_modifier_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,44.99,44.99
test,neural_fp_blocked_by_symbolic_invalid,6175893#55154351,0,0.9900528632829604,invalid,['model_token_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Đồng hồ Tissot T006.207.11.038.00,TISSOT EVERYTIME MEDIUM T109.410.11.033.00 (T109.410.11.033.00),,,18140000,260.00
test,neural_fp_blocked_by_symbolic_invalid,6175893#64388647,0,0.9892335209744726,invalid,['model_token_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Đồng hồ Tissot T006.207.11.038.00,TISSOT T095.417.11.067.00 QUICKSTER,,,18140000,10530.00
test,neural_fp_blocked_by_symbolic_invalid,45858702#66481726,0,0.9865264145967124,invalid,['quantity_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,39.99,44.99
test,neural_fp_blocked_by_symbolic_invalid,6189668#76350435,0,0.9859838417494527,invalid,['quantity_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,109.99,59.99
test,neural_fp_blocked_by_symbolic_invalid,35452020#75325202,0,0.984643273521233,invalid,['variant_modifier_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone SE Screen - Fix Kit / Black / 全新 / Fix Kit / White / 全新 / Part Only / Black / 全新 / Part Only / White / 全新,,,44.99,44.99
test,neural_fp_blocked_by_symbolic_invalid,6189668#45858702,0,0.9844342807519773,invalid,['quantity_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,,,109.99,39.99
