split,example_group,pair_id,label,neural_score,symbolic_risk,governed_score,mode,threshold,lambda_risk,rho,symbolic_status,violated_constraints,risk_terms,left_title,right_title,left_brand,right_brand,left_price,right_price
test,soft_penalty_fixed_hard_veto_error,6175893#51848095,0,0.996576513311884,0.16666666666666666,0.8299098466452174,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Đồng hồ Tissot T006.207.11.038.00,Tissot T109.410.11.033.00,,,18140000,20390
test,soft_penalty_fixed_hard_veto_error,6175893#26986067,0,0.9944621164339682,0.16666666666666666,0.8277954497673016,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Đồng hồ Tissot T006.207.11.038.00,Tissot Mens T-Sport V8 Swissmatic White Dial Bracelet Watch T106.407.11.031.01,,Tissot,18140000,351.00
test,soft_penalty_fixed_hard_veto_error,66481726#35452020,0,0.992156025399696,0.13333333333333333,0.8588226920663627,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,44.99,44.99
test,soft_penalty_fixed_hard_veto_error,6175893#55154351,0,0.9900528632829604,0.16666666666666666,0.8233861966162938,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Đồng hồ Tissot T006.207.11.038.00,TISSOT EVERYTIME MEDIUM T109.410.11.033.00 (T109.410.11.033.00),,,18140000,260.00
test,soft_penalty_fixed_hard_veto_error,6175893#64388647,0,0.9892335209744726,0.16666666666666666,0.822566854307806,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Đồng hồ Tissot T006.207.11.038.00,TISSOT T095.417.11.067.00 QUICKSTER,,,18140000,10530.00
test,soft_penalty_fixed_hard_veto_error,45858702#66481726,0,0.9865264145967124,0.16666666666666666,0.8198597479300458,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,39.99,44.99
test,soft_penalty_fixed_hard_veto_error,6189668#76350435,0,0.9859838417494527,0.16666666666666666,0.8193171750827861,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,109.99,59.99
test,soft_penalty_fixed_hard_veto_error,35452020#75325202,0,0.984643273521233,0.13333333333333333,0.8513099401878997,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone SE Screen - Fix Kit / Black / 全新 / Fix Kit / White / 全新 / Part Only / Black / 全新 / Part Only / White / 全新,,,44.99,44.99
test,soft_penalty_fixed_hard_veto_error,6189668#45858702,0,0.9844342807519773,0.16666666666666666,0.8177676140853106,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,,,109.99,39.99
test,soft_penalty_fixed_hard_veto_error,74588061#6175893,0,0.9836606646198562,0.16666666666666666,0.8169939979531896,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Tissot T048.417.27.057.00,Đồng hồ Tissot T006.207.11.038.00,,,15910.00,18140000
